,Godzilla: King of the Monsters (2019),Standard,PG-13,6/22/19,"10 a.m., 1 p.m., 4 p.m., 7 p.m., 10 p.m., 11:35 p.m."
,Godzilla: King of the Monsters (2019),Standard,PG-13,6/23/19,"10 a.m., 1 p.m., 4 p.m., 7 p.m., 10 p.m."
,John Wick: Chapter 3 â€“ Parabellum,Standard,R,6/21/19,"10:30 a.m., 1:30 p.m., 4:25 p.m., 7:20 p.m., 10:15 p.m."
,John Wick: Chapter 3 â€“ Parabellum,Standard,R,6/22/19,"12 a.m., 10:30 a.m., 1:30 p.m., 4:25 p.m., 7:20 p.m., 10:15 p.m."
,John Wick: Chapter 3 â€“ Parabellum,Standard,R,6/23/19,"12 a.m., 10:30 a.m., 1:30 p.m., 4:25 p.m., 7:20 p.m., 10:15 p.m."
,Ma (2019),Standard,R,6/21/19,"12:45 p.m., 7:45 p.m., 10:05 p.m."
,Ma (2019),Standard,R,6/22/19,"12:25 a.m., 12:45 p.m., 7:45 p.m., 10:05 p.m."
,Ma (2019),Standard,R,6/23/19,"12:25 a.m., 12:45 p.m., 7:45 p.m., 10:05 p.m."
,Plus One,Standard,,6/21/19,"12:20 p.m., 5 p.m."
,Plus One,Standard,,6/22/19,"12:20 p.m., 5 p.m."
,Plus One,Standard,,6/23/19,"12:20 p.m., 5 p.m."
,Shaft (2019),Standard,R,6/21/19,"9:45 a.m., 1:40 p.m., 4:40 p.m., 7:25 p.m., 10 p.m."
,Shaft (2019),Standard,R,6/22/19,"12:05 a.m., 9:45 a.m., 1:40 p.m., 4:40 p.m., 7:25 p.m., 10 p.m."
,Shaft (2019),Standard,R,6/23/19,"12:05 a.m., 9:45 a.m., 1:40 p.m., 4:40 p.m., 7:25 p.m., 10 p.m."
,The Dead Don't Die,Standard,R,6/21/19,"9:30 a.m., 12 p.m., 2:30 p.m., 7:30 p.m., 9:55 p.m."
,The Dead Don't Die,Standard,R,6/22/19,"12:20 a.m., 9:30 a.m., 12 p.m., 2:30 p.m., 7:30 p.m., 9:55 p.m."
