"Location","Theatre","Movie","Movie_Rating","Star_Rating","Show_Times","Movie_Format","Synopsis","Date","Searched_City"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","The Mule (2018)","R","4","3:40p | 10:30p","Standard","Broke, alone and facing foreclosure on his business, 90-year-old horticulturist Earl Stone takes a job as a drug courier for a Mexican cartel. His immediate success leads to easy money and a larger shipment that soon draws the attention of hard-charging DEA agent Colin Bates. When Earl's past mistakes start to weigh heavily on his conscience, he must decide whether to right those wrongs before law enforcement and cartel thugs catch up to him.","2019-01-23","Gainesville, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","Mary Poppins Returns (2018)","PG","4.5","8:20a | 11:30a | 1:30p | 3:50p | 4:40p | 6:35p | 9:00p","Standard","Now an adult with three children, bank teller Michael Banks learns that his house will be repossessed in five days unless he can pay back a loan. His only hope is to find a missing certificate that shows proof of valuable shares that his father left him years earlier. Just as all seems lost, Michael and his sister receive the surprise of a lifetime when Mary Poppins -- the beloved nanny from their childhood -- arrives to save the day and take the Banks family on a magical, fun-filled adventure.","2019-01-23","Belleview, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","On the Basis of Sex","PG-13","4.5","4:05p | 6:55p | 9:45p","Standard","The film tells an inspiring and spirited true story that follows young lawyer Ruth Bader Ginsburg as she teams with her husband Marty to bring a groundbreaking case before the U.S. Court of Appeals and overturn a century of gender discrimination. The feature will premiere in 2018 in line with Justice Ginsburg’s 25th anniversary on the Supreme Court.","2019-01-23","Gainesville, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","Escape Room (2019)","PG-13","4","11:00a | 4:00p","Standard","Six strangers find themselves in circumstances beyond their control, and must use their wits to survive.","2019-01-23","The Villages, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","Spider-Man: Into the Spider-Verse","PG","5","1:25p | 4:15p | 7:00p | 9:50p","Standard","Spider-Man mentors a teenager from Brooklyn, N.Y., to become the next web-slinging superhero.","2019-01-23","Gainesville, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","A Star Is Born (2018)","R","4.5","6:00p | 9:05p","Standard","In this new take on the tragic love story, Bradley Cooper plays seasoned musician Jackson Maine, who discovers—and falls in love with—struggling artist Ally (Gaga). She has just about given up on her dream to make it big as a singer… until Jack coaxes her into the spotlight. But even as Ally’s career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.","2019-01-23","High Springs, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","The Mule (2018)","R","4","3:15p | 7:10p | 10:05p","Standard","Broke, alone and facing foreclosure on his business, 90-year-old horticulturist Earl Stone takes a job as a drug courier for a Mexican cartel. His immediate success leads to easy money and a larger shipment that soon draws the attention of hard-charging DEA agent Colin Bates. When Earl's past mistakes start to weigh heavily on his conscience, he must decide whether to right those wrongs before law enforcement and cartel thugs catch up to him.","2019-01-23","Gainesville, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Ben is Back","R","4","9:45a | 12:15p | 2:45p | 5:15p | 7:45p","Standard","19 year-old Ben Burns (Lucas Hedges) unexpectedly returns home to his family's suburban home on Christmas Eve morning. Ben’s mother, Holly (Julia Roberts), is relieved and welcoming but wary of her son staying clean. Over a turbulent 24 hours, new truths are revealed, and a mother's undying love for her son is tested as she does everything in her power to keep him safe. Ben is Back also stars Courtney B. Vance (The People V. O.J. Simpson: American Crime Story) and Kathryn Newton.","2019-01-23","Belleview, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","On the Basis of Sex","PG-13","4.5","3:35p | 7:05p | 10:30p","Standard","The film tells an inspiring and spirited true story that follows young lawyer Ruth Bader Ginsburg as she teams with her husband Marty to bring a groundbreaking case before the U.S. Court of Appeals and overturn a century of gender discrimination. The feature will premiere in 2018 in line with Justice Ginsburg’s 25th anniversary on the Supreme Court.","2019-01-23","Belleview, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Cyrano de Bergerac presented by Comédie-Française","PG","3","7:00p","Standard","From award-winning director, stage and cinema actor Denis Podalydès, this classic tale of hijinx comes to cinemas nationwide from the renowned Comédie-Française stage on January 23 only. Cyrano de Bergerac, despite a deformed and enormous nose, proves to be a talented swordsman and a man of great wit. In a local pastry shop, the precious Roxane, with whom Cyrano is secretly in love, reveals to him that she loves a young nobleman named Christian. Blessed with all of life’s gifts except for romantic eloquence, Christian asks Cyrano to help him woo Roxane, secretly prompting him with romantic turns of phrase. She becomes enamored, but at the siege of Arras, Christian dies and asks Cyrano to reveal the truth to Roxane. Opera buffa, tragedy, romantic drama, symbolist poetry, slapstick comedy… all genres are called upon to give life to this staging of one of the most emblematic texts of the French repertoire!","2019-01-23","Gainesville, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","Bohemian Rhapsody","PG-13","5","3:15p | 6:15p | 9:15p","Standard","Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Surrounded by darker influences, Mercury decides to leave Queen years later to pursue a solo career. Diagnosed with AIDS in the 1980s, the flamboyant frontman reunites with the group for the benefit concert Live Aid -- leading the band in one of the greatest performances in rock history.","2019-01-23","Gainesville, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","A Dog's Way Home","PG","4.5","2:35p | 5:05p | 7:55p | 10:50p","Standard","As a puppy, Bella finds her way into the arms of Lucas, a young man who gives her a good home. When Bella becomes separated from Lucas, she soon finds herself on an epic 400-mile journey to reunite with her beloved owner. Along the way, the lost but spirited dog touches the lives of an orphaned mountain lion, a down-on-his-luck veteran and some friendly strangers who happen to cross her path.","2019-01-23","Gainesville, FL"
