"Location","Theatre","Movie","Movie_Rating","Star_Rating","Show_Times","Movie_Format","Synopsis","Date","Searched_City"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Toy Story 4","G","5","10:30a | 12:10p | 12:30p | 1:15p | 1:30p | 2:50p | 3:10p | 4:00p | 5:00p | 6:30p | 8:10p | 9:00p","Standard","Woody, Buzz Lightyear and the rest of the gang embark on a road trip with Bonnie and a new toy named Forky. The adventurous journey turns into an unexpected reunion as Woody's slight detour leads him to his long-lost friend Bo Peep. As Woody and Bo discuss the old days, they soon start to realize that they're worlds apart when it comes to what they want from life as a toy.","2019-06-23","Ocala, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Regal Celebration Pointe & RPX","John Wick: Chapter 3 – Parabellum","R","4.5","12:50p | 3:50p | 7:20p | 10:35p","Standard","Super-Assassin John Wick (Keanu Reeves) is on the run after killing a member of the international assassin’s guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.","2019-06-22","High Springs, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Regal Celebration Pointe & RPX","Toy Story 4","G","5","10:25p","Digital 3D","Woody, Buzz Lightyear and the rest of the gang embark on a road trip with Bonnie and a new toy named Forky. The adventurous journey turns into an unexpected reunion as Woody's slight detour leads him to his long-lost friend Bo Peep. As Woody and Bo discuss the old days, they soon start to realize that they're worlds apart when it comes to what they want from life as a toy.","2019-06-21","High Springs, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","The Hustle (2019)","PG-13","3.5","12:00p | 2:15p | 7:30p | 9:45p","Standard","","2019-06-23","The Villages, FL"
"2830 Hwy 90 West, Lake City, FL 32055","Regal UA Cinema 90","Anna (2019)","R","","1:20p | 4:15p | 7:20p | 10:20p","Standard","","2019-06-22","Lake City, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","Shaft (2019)","R","4.5","9:45a | 1:40p | 4:40p | 7:25p | 10:00p","Standard","John Shaft Jr. may be an FBI cyber security expert, but to uncover the truth behind his best friend's untimely death, he needs an education that only his dad can provide. Absent throughout his childhood, the legendary John Shaft agrees to help his son navigate the heroin-infested underbelly of Harlem, N.Y. Besides, the locked and loaded Shaft has his own score to settle -- both professional and personal.","2019-06-21","The Villages, FL"
"10401-015 US Hwy. 441 South, Leesburg, FL 34788","AMC Lake Square 12","Toy Story 4","G","5","11:15a | 1:15p | 2:00p | 4:00p | 4:45p | 7:30p | 10:15p","Digital 3D","Woody, Buzz Lightyear and the rest of the gang embark on a road trip with Bonnie and a new toy named Forky. The adventurous journey turns into an unexpected reunion as Woody's slight detour leads him to his long-lost friend Bo Peep. As Woody and Bo discuss the old days, they soon start to realize that they're worlds apart when it comes to what they want from life as a toy.","2019-06-21","The Villages, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Poms","PG-13","4","9:30a | 11:45a | 2:15p | 4:30p | 6:45p","Standard","Martha is an introverted woman who moves to a retirement community that has shuffleboard, golf, bowling and other activities. Hoping to be left alone, she meets Sheryl, a fun-loving neighbor who insists that they become best pals. After coming out of her shell, Martha and her new friend decide to form a cheerleading squad with their fellow residents. As the two women hold auditions, they soon learn that it's never too late to follow your dreams, even when the odds are stacked against you.","2019-06-21","The Villages, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center","Men in Black: International","PG-13","3.5","11:00a | 1:55p | 4:20p | 7:30p | 10:20p | 10:35p","Standard","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-21","Gainesville, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Regal Celebration Pointe & RPX","John Wick: Chapter 3 – Parabellum","R","4.5","12:50p | 3:50p | 7:20p | 10:35p","Standard","Super-Assassin John Wick (Keanu Reeves) is on the run after killing a member of the international assassin’s guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.","2019-06-21","Gainesville, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Ma (2019)","R","3.5","8:05p | 10:50p","Standard","A lonely middle-aged woman befriends some teenagers and decides to let them party in the basement of her home. But there are some house rules: One of the kids has to stay sober, don't curse, and never go upstairs. They must also refer to her as Ma. But as Ma's hospitality starts to curdle into obsession, what began as a teenage dream turns into a terrorizing nightmare, and Ma's place goes from the best place in town to the worst place on Earth.","2019-06-22","Ocala, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Hampstead","PG-13","","9:35a | 2:20p | 5:45p","Standard","Though Emily (Diane Keaton) and Donald (Brendan Gleeson) live in the same idyllic London neighborhood of Hampstead, the worlds they inhabit could not be more different. She is an American widow occupying a posh apartment she can no longer afford and filling her time with charity work as she struggles to figure out a next step. He is a gruff Irish loner who lives off the land in a makeshift cabin and wants nothing more than to be left in peace. When his home is threatened by greedy real estate developers, Emily believes she has found her new cause—but gets more than she bargained for when unexpected romance blossoms. Based on an inspiring true story, Hampstead is a buoyant, sparklingly witty tale of two underdogs who took on the system and showed a nation that heart is where the home is. With Lesley Manville.","2019-06-21","The Villages, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","The Secret Life of Pets 2","PG","4.5","9:30a | 11:40a | 1:50p | 4:00p | 6:15p | 8:30p","Standard","Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.","2019-06-22","Belleview, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Men in Black: International","PG-13","3.5","12:05p | 1:10p | 2:50p | 4:10p | 7:30p | 8:10p | 10:50p","Standard","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-22","Ocala, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","The Secret Life of Pets 2","PG","4.5","12:15p | 2:30p | 4:55p | 7:15p | 9:30p","Standard","Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.","2019-06-23","Ocala, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","Plus One","","","12:20p | 5:00p","Standard","Long-time friends Alice and Ben find themselves in that inevitable year that all late 20-somethings experience—in which seemingly every person they know gets married—and agree to be one another’s plus ones as they power through an endless parade of insufferable weddings.","2019-06-23","The Villages, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center","Child's Play (2019)","R","","12:20p | 2:45p | 5:25p | 8:00p | 10:35p","Standard","A contemporary re-imagining of the 1988 horror classic, Child's Play follows Karen (Aubrey Plaza), a single mother who gifts her son Andy (Gabriel Bateman) a Buddi doll, unaware of its more sinister nature.","2019-06-23","Gainesville, FL"
"10845 SE US Highway 441, Belleview, FL 34420","Belleview Cinemas","Toy Story 4","G","5","12:15p | 2:30p | 4:45p | 7:00p | 9:30p","Standard","Woody, Buzz Lightyear and the rest of the gang embark on a road trip with Bonnie and a new toy named Forky. The adventurous journey turns into an unexpected reunion as Woody's slight detour leads him to his long-lost friend Bo Peep. As Woody and Bo discuss the old days, they soon start to realize that they're worlds apart when it comes to what they want from life as a toy.","2019-06-22","Belleview, FL"
"2830 Hwy 90 West, Lake City, FL 32055","Regal UA Cinema 90","Men in Black: International","PG-13","3.5","1:10p | 4:00p | 7:00p","Standard","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-22","Lake City, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Holy Lands","","","12:00p | 4:45p | 7:05p | 9:25p","Standard","","2019-06-22","The Villages, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","The Souvenir","R","3.5","9:40a | 2:25p | 7:15p","Standard","","2019-06-23","The Villages, FL"
"10401-015 US Hwy. 441 South, Leesburg, FL 34788","AMC Lake Square 12","Late Night (2019)","R","4","3:40p","Standard","A late-night talk show host's world is turned upside down when she hires her first and only female staff writer. Originally intended to smooth over diversity concerns, her decision brings about unexpectedly hilarious consequences as the two women who are separated by culture and generation become united by their love of a biting punchline.","2019-06-21","The Villages, FL"
"University of Florida, Gainesville, FL 32611","Reitz Union Cinema - U of Fl","","","","","","","2019-06-23","Gainesville, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Holy Lands","","","12:00p | 4:45p | 7:05p | 9:25p","Standard","","2019-06-23","Belleview, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","The Hustle (2019)","PG-13","3.5","12:00p | 2:15p | 7:30p | 9:45p","Standard","","2019-06-21","The Villages, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Poms","PG-13","4","9:30a | 11:45a | 2:15p | 4:30p | 6:45p","Standard","Martha is an introverted woman who moves to a retirement community that has shuffleboard, golf, bowling and other activities. Hoping to be left alone, she meets Sheryl, a fun-loving neighbor who insists that they become best pals. After coming out of her shell, Martha and her new friend decide to form a cheerleading squad with their fellow residents. As the two women hold auditions, they soon learn that it's never too late to follow your dreams, even when the odds are stacked against you.","2019-06-22","Belleview, FL"
"2830 Hwy 90 West, Lake City, FL 32055","Regal UA Cinema 90","Shaft (2019)","R","4.5","4:20p | 10:30p","Standard","John Shaft Jr. may be an FBI cyber security expert, but to uncover the truth behind his best friend's untimely death, he needs an education that only his dad can provide. Absent throughout his childhood, the legendary John Shaft agrees to help his son navigate the heroin-infested underbelly of Harlem, N.Y. Besides, the locked and loaded Shaft has his own score to settle -- both professional and personal.","2019-06-21","Lake City, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Regal Celebration Pointe & RPX","Men in Black: International","PG-13","3.5","12:40p | 3:40p | 4:10p | 6:40p | 9:40p | 10:10p","Standard","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-21","High Springs, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","The Poison Rose","R","","9:30a | 3:05p | 5:25p","Standard","","2019-06-22","The Villages, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","Ma (2019)","R","3.5","12:25a | 12:45p | 7:45p | 10:05p","Standard","A lonely middle-aged woman befriends some teenagers and decides to let them party in the basement of her home. But there are some house rules: One of the kids has to stay sober, don't curse, and never go upstairs. They must also refer to her as Ma. But as Ma's hospitality starts to curdle into obsession, what began as a teenage dream turns into a terrorizing nightmare, and Ma's place goes from the best place in town to the worst place on Earth.","2019-06-22","The Villages, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","John Wick: Chapter 3 – Parabellum","R","4.5","1:20p | 4:20p | 7:35p | 10:35p","Standard","Super-Assassin John Wick (Keanu Reeves) is on the run after killing a member of the international assassin’s guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.","2019-06-22","Ocala, FL"
