"Location","Theatre","Movie","Movie_Rating","Star_Rating","Show_Times","Movie_Format","Synopsis","Date","Searched_City"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center","Aladdin (2019)","PG","4.5","4:20p","Digital 3D","Aladdin is a lovable street urchin who meets Princess Jasmine, the beautiful daughter of the sultan of Agrabah. While visiting her exotic palace, Aladdin stumbles upon a magic oil lamp that unleashes a powerful, wisecracking, larger-than-life genie. As Aladdin and the genie start to become friends, they must soon embark on a dangerous mission to stop the evil sorcerer Jafar from overthrowing young Jasmine's kingdom.","2019-06-15","Gainesville, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","Avengers: Endgame (2019)","PG-13","5","9:00a | 12:45p | 4:30p | 8:15p","Standard","Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply starts to dwindle. Meanwhile, the remaining Avengers -- Thor, Black Widow, Captain America and Bruce Banner -- must figure out a way to bring back their vanquished allies for an epic showdown with Thanos -- the evil demigod who decimated the planet and the universe.","2019-06-15","Belleview, FL"
"50 S. Magnolia Ave., Ocala, FL 34471","Marion Theatre","Men in Black: International","PG-13","","1:00p | 4:00p | 7:00p | 9:30p","Standard","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-14","Belleview, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center","Shaft (2019)","R","","1:15p | 4:15p | 7:15p | 10:15p","Standard","John Shaft Jr. may be an FBI cyber security expert, but to uncover the truth behind his best friend's untimely death, he needs an education that only his dad can provide. Absent throughout his childhood, the legendary John Shaft agrees to help his son navigate the heroin-infested underbelly of Harlem, N.Y. Besides, the locked and loaded Shaft has his own score to settle -- both professional and personal.","2019-06-15","High Springs, FL"
"10401-015 US Hwy. 441 South, Leesburg, FL 34788","AMC Lake Square 12","Men in Black: International","PG-13","","1:45p | 4:00p | 10:00p","Digital 3D","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-16","The Villages, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Pokémon Detective Pikachu","PG","4.5","3:50p | 6:55p | 9:50p","Standard","The story begins when ace detective Harry Goodman goes mysteriously missing, prompting his 21-year-old son Tim to find out what happened. Aiding in the investigation is Harry’s former Pokémon partner, Detective Pikachu: a hilariously wise-cracking, adorable super-sleuth who is a puzzlement even to himself. Finding that they are uniquely equipped to communicate with one another, Tim and Pikachu join forces on a thrilling adventure to unravel the tangled mystery. Chasing clues together through the neon-lit streets of Ryme City—a sprawling, modern metropolis where humans and Pokémon live side by side in a hyper-realistic live-action world—they encounter a diverse cast of Pokémon characters and uncover a shocking plot that could destroy this peaceful co-existence and threaten the whole Pokémon universe.","2019-06-16","Ocala, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","Aladdin (2019)","PG","4.5","9:15a | 12:10p | 3:00p | 5:50p | 8:40p","Standard","Aladdin is a lovable street urchin who meets Princess Jasmine, the beautiful daughter of the sultan of Agrabah. While visiting her exotic palace, Aladdin stumbles upon a magic oil lamp that unleashes a powerful, wisecracking, larger-than-life genie. As Aladdin and the genie start to become friends, they must soon embark on a dangerous mission to stop the evil sorcerer Jafar from overthrowing young Jasmine's kingdom.","2019-06-14","The Villages, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","Vault","R","","11:45a | 4:30p | 9:15p","Standard","Two small-time crooks cook up an ill-fated scheme to rob a nearby vault of $30 million--money that belongs to the Mafia.","2019-06-16","The Villages, FL"
"4850 S. Pine Ave., Ocala, FL 34480","Ocala Drive-In","","","","","","","2019-06-14","Ocala, FL"
"2830 Hwy 90 West, Lake City, FL 32055","Regal UA Cinema 90","Aladdin (2019)","PG","4.5","4:05p | 10:10p","Digital 3D","Aladdin is a lovable street urchin who meets Princess Jasmine, the beautiful daughter of the sultan of Agrabah. While visiting her exotic palace, Aladdin stumbles upon a magic oil lamp that unleashes a powerful, wisecracking, larger-than-life genie. As Aladdin and the genie start to become friends, they must soon embark on a dangerous mission to stop the evil sorcerer Jafar from overthrowing young Jasmine's kingdom.","2019-06-15","Lake City, FL"
