"Location","Theatre","Movie","Movie_Rating","Star_Rating","Show_Times","Movie_Format","Synopsis","Date","Searched_City"
"10401-015 US Hwy. 441 South, Leesburg, FL 34788","AMC Lake Square 12","Breakthrough (2019)","PG","4.5","10:25a | 1:10p","Standard","BREAKTHROUGH is based on the inspirational true story of one mother's unfaltering love in the face of impossible odds. When Joyce Smith's adopted son John falls through an icy Missouri lake, all hope seems lost. But as John lies lifeless, Joyce refuses to give up. Her steadfast belief inspires those around her to continue to pray for John's recovery, even in the face of every case history and scientific prediction. From producer DeVon Franklin (Miracles from Heaven) and adapted for the screen by Grant Nieporte (Seven Pounds) from Joyce Smith's own book, BREAKTHROUGH is an enthralling reminder that faith and love can create a mountain of hope, and sometimes even a miracle.","2019-05-16","The Villages, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Saga of Tanya the Evil – the Movie","","","7:30p","Standard","Be the first to see Saga of Tanya the Evil - the movie - on the big screen in a special premiere event from Fathom Events and Crunchyroll. The time is UC 1926. The Imperial Army's 203rd Air Mage Battalion led by Major Tanya Degurechaff has won the battle to the south against the Republic's stragglers. They are told that there were signs of a large-scale deployment near the Empire-Federation border. Faced with the prospect of a new major enemy, the desperate Empire fans the flame of war. Meanwhile, an international volunteer army spearheaded by the Commonwealth set foot in Federation territory. As they say, the enemy of an enemy is your friend. They suffer through misfortune purely out of national interest, and among them is a young girl. She is Warrant Officer Mary Sue, and she takes up arms hoping to bring the Empire, who killed her father, to justice. This exclusive one-night event will feature premiere footage of an interview with Director Yutaka Uemura.","2019-05-16","Belleview, FL"
"10845 SE US Highway 441, Belleview, FL 34420","Belleview Cinemas","Avengers: Endgame (2019)","PG-13","5","1:00p | 4:30p | 8:00p","Standard","Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply starts to dwindle. Meanwhile, the remaining Avengers -- Thor, Black Widow, Captain America and Bruce Banner -- must figure out a way to bring back their vanquished allies for an epic showdown with Thanos -- the evil demigod who decimated the planet and the universe.","2019-05-16","Ocala, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park","Shazam!","PG-13","4.5","3:45p | 9:45p","Standard","We all have a superhero inside us, it just takes a bit of magic to bring it out. In Billy Batson's case, by shouting out one word - SHAZAM! - this streetwise 14-year-old foster kid can turn into the adult superhero Shazam.","2019-05-16","High Springs, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","The Hustle (2019)","PG-13","3.5","2:25p | 5:00p | 7:35p | 10:10p","Standard","","2019-05-16","Ocala, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park","Tolkien","PG-13","4.5","1:25p | 4:25p | 7:20p | 10:10p","Standard","As a young student, J.R.R. Tolkien finds love, friendship and artistic inspiration among a group of fellow outcasts. Their brotherhood soon strengthens as Tolkien weathers the storm of a tumultuous courtship with Edith Bratt and the outbreak of World War I. These early life experiences later inspire the budding author to write the classic fantasy novels ""The Hobbit"" and ""The Lord of the Rings.""","2019-05-16","Gainesville, FL"
"4850 S. Pine Ave., Ocala, FL 34480","Ocala Drive-In","","","","","","","2019-05-16","Belleview, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Long Shot","R","4","7:55p | 10:50p","Standard","When Fred Flarsky (Seth Rogen) reunites with his first crush, one of the most influential women in the world, Charlotte Field (Charlize Theron), he charms her with his self-deprecating humor and his memories of her youthful idealism. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.","2019-05-16","Ocala, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","Mia and the White Lion","PG","4.5","9:30a | 2:05p","Standard","Ten year old Mia has her life turned upside down when her family decides to leave London to manage a lion farm in Africa. When a beautiful white lion, Charlie, is born, Mia finds happiness once again and develops a special bond with the growing cub. When Charlie reaches three, Mia’s life is rocked once again as she uncovers an upsetting secret kept hidden by her father. Distraught by the thought that Charlie could be in danger, Mia decides to rescue him. The two friends set out on an incredible journey across the South African savanna in search of a sanctuary where Charlie can live out his life in freedom.","2019-05-16","The Villages, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Regal Celebration Pointe & RPX","UglyDolls","PG","4","2:45p | 5:05p","Standard","Unconventionality rules in UGLYDOLLS, the new animated musical adventure set in the adorably different town of Uglyville, where weird is celebrated, strange is special and beauty is embraced as more than simply meets the eye.","2019-05-16","Gainesville, FL"
